! first line is a count of cells
1024
! then [x,y,z] position of each cell
! and amplitude and phase
! default units for position are model units
! default units for amplitude is Volts
! default units for phase is radians
150.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	160.006780deg
175.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	122.013139deg
150.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	104.668217deg
175.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	66.674576deg
150.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	49.329654deg
175.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	11.336013deg
150.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	-6.008910deg
175.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-44.002550deg
150.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-61.347473deg
175.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	-99.341113deg
150.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	-116.686036deg
175.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	-154.679676deg
150.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	-172.024599deg
175.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	149.981761deg
200.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-82.594870deg
225.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	-120.588511deg
200.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	-137.933433deg
225.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	-175.927074deg
200.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	166.728004deg
225.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	128.734363deg
200.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	111.389441deg
225.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	73.395800deg
200.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	56.050877deg
225.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	18.057237deg
200.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	0.712314deg
225.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-37.281326deg
200.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-54.626249deg
225.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-92.619889deg
200.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-109.964812deg
